Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,MetodoPago,RecargoMensual,TotalRecargo,Abandono
0,0,1,0,58,1,1,0,0,1,0,1,0,0,1,2,-0.16158291893507942,0.5394640917857305,0
1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,2,-0.17155370093607605,0.303332564216839,0
0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,3,-0.3144682429503628,-0.33234163219477936,0
1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,0,1.1495749141959914,1.0887524741194623,1
1,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,-1.1486903370337564,-0.9948168452919469,1
1,0,1,0,72,1,1,0,1,1,1,1,1,1,1,2,0.8471278601657575,1.8041674219875912,0
0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,-0.0020504069191314505,-0.5255120572347759,1
0,1,1,0,71,1,1,1,1,1,1,1,0,0,1,2,1.0498670941860242,1.979676551023931,0
1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,2,1.0216165451832002,-0.9279467632981011,0
0,0,1,1,27,1,0,0,1,1,1,1,0,0,2,1,0.04614170608568622,-0.18052071642334433,0
1,0,0,0,1,1,0,2,2,2,2,2,2,2,0,3,-1.481049737066981,-0.9992321692928611,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,-0.6484894399837534,-0.9881717826705709,0
0,0,1,1,72,1,1,1,1,1,0,1,1,0,1,3,1.1678546811978192,2.193709381968247,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0.16412929309748087,-0.8682295061857365,1
0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,2,0.3336325871144252,0.55853829146968,0
1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,0,1.3822264942192488,0.5589577472497668,1
0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,3,1.099721004191008,-0.5200812087136514,1
1,0,1,1,10,1,0,0,0,1,0,0,0,0,2,1,-0.505574897969467,-0.7981141610512189,0
0,0,1,1,70,1,1,0,1,1,0,0,1,0,1,2,0.14751132309581963,1.1431492658107256,0
0,0,1,1,17,1,0,2,2,2,2,2,2,2,2,1,-1.462769970065154,-0.823480197436471,0
0,0,0,0,63,1,1,0,1,1,1,1,1,0,1,2,0.5014740841312036,1.1383365626497288,0
0,0,1,0,13,1,1,0,1,1,0,1,1,0,0,0,0.38016290311907686,-0.574809149704983,0
0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,0,0.6560212051466533,0.716783503662445,0
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,-0.5155456799704635,-0.96532248096584,0
0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0.528062836133862,-0.9445042283015294,1
1,0,0,0,52,1,1,0,1,0,0,1,1,1,1,2,0.4981504901308715,0.8541442333308861,0
0,0,1,1,69,1,1,0,1,0,1,1,0,0,1,2,-0.020330173920958716,0.8701718594542047,0
0,1,0,0,43,1,1,1,0,1,0,0,1,0,0,0,0.8471278601657575,0.6867813770762331,0
0,0,0,0,15,1,0,1,1,1,0,0,1,1,0,2,1.141265929195161,-0.3783493082843053,1
0,1,1,0,25,1,1,0,1,0,0,1,1,0,0,2,0.1574821050968163,-0.23429936275447935,0
0,1,1,0,8,1,1,1,0,1,0,0,0,0,0,2,0.528062836133862,-0.7285286547968111,1
0,1,1,1,60,1,0,0,1,1,1,1,0,1,2,2,0.3352943841145912,0.9594717873726946,0
1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,0,1.0199547481830342,-0.23434351599448855,1
0,0,1,1,63,1,1,1,1,0,0,0,1,1,2,2,1.1595456961969886,1.7784481596822659,0
1,1,1,1,66,1,1,1,0,1,1,1,1,1,2,0,1.4520219682262263,2.1162866756122165,0
0,0,1,1,34,1,1,2,2,2,2,2,2,2,1,2,-1.3231790220511994,-0.6132886983729503,0
0,0,0,0,72,1,1,1,0,0,1,1,1,1,1,2,1.42044782522307,2.4595118868232824,0
0,0,1,0,47,1,1,1,0,0,1,0,1,1,0,0,1.1877962451998125,1.0701860366956184,0
1,0,0,0,60,1,1,1,0,1,0,0,1,0,0,3,0.8354952811645947,1.3985095294035985,0
1,0,1,0,72,0,2,0,1,1,1,0,0,0,1,3,-0.7531826509942191,0.29966784529608015,0
0,0,1,1,18,1,0,0,0,0,1,1,0,0,2,2,-0.344380588953353,-0.585560463647209,0
0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,0.9850570111795458,-0.6296474737963373,1
0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,0,0.35025055711608644,-0.900373064912392,0
1,0,1,0,47,1,1,1,0,1,0,0,0,0,2,0,0.4698999411280476,0.6035966728990094,0
0,0,0,0,31,1,0,0,0,1,1,1,1,1,1,1,0.4798707231290442,0.09444358573358773,0
0,0,1,1,50,1,0,2,2,2,2,2,2,2,1,3,-1.4827115340671475,-0.5971286125296043,0
1,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,0.5014740841312036,-0.6163573485535857,0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,-0.5221928679711282,-0.9864939595502235,0
0,0,1,1,52,1,0,2,2,2,2,2,2,2,2,0,-1.4744025490663168,-0.5265938116149997,0
1,1,1,1,64,1,1,1,1,0,1,1,1,1,1,3,1.5567151792366918,2.126287384474287,0
1,0,1,1,62,1,1,2,2,2,2,2,2,2,1,3,-1.3464441800535252,-0.3791440666044699,0
0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,3,-0.008697594919796037,-0.9298232759984897,0
0,1,0,0,56,1,1,1,1,1,1,0,1,1,2,0,1.5201556452330371,1.702637046586569,0
0,0,0,0,46,1,0,0,0,0,0,0,0,1,2,2,-0.3028356639491999,0.17906327021110852,0
0,0,1,1,8,1,0,0,1,1,0,0,0,0,0,1,-0.3360716039525224,-0.7952221238306201,0
1,1,0,0,30,1,0,0,1,1,0,0,1,1,0,0,0.3319707901142592,-0.0759437674616913,0
0,0,1,1,45,1,1,2,2,2,2,2,2,2,2,2,-1.2916048790480432,-0.4709828058234854,0
0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0.4848561141295423,-0.9731155278274535,1
0,0,1,1,11,0,2,0,1,0,0,0,1,1,0,0,-0.4723389579661445,-0.7585307813830231,0
0,0,1,0,7,1,0,1,0,0,1,0,0,0,0,3,0.3452651661155884,-0.7887536741692808,1
0,0,0,0,42,1,0,1,0,1,1,1,1,1,0,3,1.2974748472107767,0.9025803376209148,0
0,0,1,0,49,1,0,2,2,2,2,2,2,2,1,3,-1.4827115340671475,-0.5783855621457235,0
1,0,0,0,9,1,1,1,0,1,0,0,1,1,0,2,1.1479131171958254,-0.6024932311907151,0
0,0,1,0,35,1,0,0,1,0,0,0,1,0,2,3,-0.08680205392760387,-0.029958167992170014,0
0,0,1,1,48,1,0,2,2,2,2,2,2,2,1,3,-1.4660935640654862,-0.5414513768780761,0
0,0,1,1,46,1,0,2,2,2,2,2,2,2,1,1,-1.4893587220678117,-0.5988064356499517,0
1,0,1,0,29,0,2,0,0,0,0,0,1,0,0,1,-1.0307027500219619,-0.5625345489824415,0
1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,3,0.5745931521385131,0.12667545094026145,0
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0.3303089931140932,-0.9751686534878786,0
1,0,1,1,66,1,1,0,1,0,1,1,1,1,1,1,0.639403235144992,1.5148753934476924,0
0,0,0,0,65,1,1,1,1,1,1,0,1,1,0,2,1.5384354122348645,2.1298196436750185,0
1,0,0,0,72,1,1,1,0,1,1,0,1,1,1,3,1.2010906212011416,2.285261125127203,0
0,0,0,0,12,1,1,1,1,0,0,0,0,0,0,0,0.4715617381282136,-0.5986960525499289,1
1,0,1,1,71,1,1,0,1,1,0,1,0,0,2,2,0.06940686408801157,1.0885537845394213,0
1,0,0,0,5,1,0,2,2,2,2,2,2,2,0,1,-1.4527991880641573,-0.9578826600242994,1
1,0,0,0,52,1,0,2,2,2,2,2,2,2,1,3,-1.4544609850643233,-0.5192864503934868,0
0,1,1,0,25,1,0,1,0,1,1,0,1,1,0,0,1.1213243651931677,0.1020820962551694,1
1,0,0,0,1,1,0,2,2,2,2,2,2,2,0,1,-1.481049737066981,-0.9992321692928611,0
0,0,1,1,1,1,0,2,2,2,2,2,2,2,0,0,-1.505976692069473,-0.9995633185929297,0
1,0,0,0,38,1,1,1,0,0,1,1,1,0,2,3,1.0049985751815391,0.5838380979949184,0
0,1,1,0,66,0,2,0,0,1,1,0,1,0,2,3,-0.6385186579827568,0.3284778344020453,0
1,0,1,0,68,1,1,1,0,1,1,1,1,1,1,3,1.503537675231376,2.3527272758611724,1
1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,-1.3447823830533592,-0.9639095772855474,0
0,0,1,1,72,1,1,1,1,1,0,0,1,1,2,0,1.3091074262119398,2.2163820707129416,0
0,0,0,0,32,0,2,0,1,0,0,0,0,0,2,1,-1.150352134033923,-0.5985635928299013,0
1,0,0,0,43,1,1,1,0,0,0,0,1,1,2,1,0.9833952141793794,0.7232298767037799,0
1,0,1,1,72,1,0,2,2,2,2,2,2,2,1,2,-1.5076384890696393,-0.40623207935007855,0
1,0,1,0,55,1,1,1,1,1,0,0,1,0,0,0,1.0631614701873533,1.3049929670642355,1
0,0,0,0,52,1,0,0,1,0,1,1,0,0,2,2,-0.2263930019415581,0.33510082040341665,0
0,0,0,0,43,1,0,1,0,1,1,0,1,0,0,0,0.8936581761704091,0.7377121394267784,0
0,1,1,0,37,1,1,1,0,0,0,0,0,0,0,0,0.3901336851200735,0.25823002954750035,1
0,0,1,1,64,0,2,0,0,1,0,1,1,1,1,0,-0.3377334009526884,0.5034350479382707,0
1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,0.8338334841644283,-0.8984744755919988,0
0,0,0,0,36,0,2,0,1,0,0,0,0,0,1,3,-1.1204397880309327,-0.5108311049317361,0
0,0,1,1,10,1,1,1,1,0,0,0,1,1,0,0,1.1794872601989819,-0.5380736540173767,1
0,0,0,0,41,1,0,2,2,2,2,2,2,2,1,1,-1.4660935640654862,-0.6394053398383578,0
1,0,1,1,27,1,1,1,0,1,0,1,0,0,0,2,0.679286363148979,-0.058150011738007185,0
0,0,1,1,56,1,1,1,0,0,1,0,1,1,2,2,1.1645310871974868,1.427098752309518,0
0,0,0,0,6,1,0,2,2,2,2,2,2,2,0,1,-1.46443176706532,-0.9583683456644,0
1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0.3203382111130965,-0.906797361333722,1
0,0,1,1,7,1,0,0,1,0,0,0,0,0,0,1,-0.46735356696564595,-0.8534602474026786,0
0,0,1,1,4,1,0,2,2,2,2,2,2,2,0,1,-1.4594463760648215,-0.9803787358089573,0
1,0,0,0,33,1,0,1,1,0,0,1,1,0,1,0,0.8039211381614383,0.32865444736208194,0
0,1,0,0,27,1,1,1,0,0,1,0,0,0,0,0,0.4416493921252232,-0.06525868337947902,1
1,0,1,0,72,1,1,2,2,2,2,2,2,2,1,3,-1.3697093380558512,-0.24697134263710313,0
1,0,0,0,1,1,0,2,2,2,2,2,2,2,0,1,-1.4960059100684764,-0.9994308588729022,0
1,1,0,0,71,0,2,0,1,1,0,0,1,1,2,0,-0.27624691194654183,0.7515100269296353,0
0,0,0,0,13,1,1,1,0,0,0,0,0,1,0,0,0.7042133181514709,-0.4714022616035722,0
0,0,1,1,25,0,2,0,1,1,1,0,1,1,0,2,-0.20478964093939853,-0.34468246277733444,1
1,0,0,0,67,1,0,0,0,0,0,1,0,0,1,3,-0.4723389579661445,0.4312886537633326,0
1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,-0.9742016520163135,-0.9924988001914669,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,-0.6784017859867436,-0.9722766162672798,1
0,0,0,0,43,1,1,2,2,2,2,2,2,2,1,2,-1.2982520670487077,-0.4835223259860817,0
0,0,0,0,23,1,0,1,1,0,0,0,0,0,0,3,0.3402797751150898,-0.22288575021211615,0
0,0,1,1,64,1,0,2,2,2,2,2,2,2,1,1,-1.481049737066981,-0.443983099557895,0
1,0,0,1,57,1,0,2,2,2,2,2,2,2,1,1,-1.5009913010689746,-0.4913153728476953,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0.1890562480999727,-0.9770451661882672,1
0,1,1,1,72,1,1,0,1,1,1,1,1,1,1,2,0.7740087921584479,1.828981542872729,0
0,0,0,0,8,1,1,0,1,0,0,1,0,1,0,0,0.21232140610229852,-0.7592813864631784,1
0,0,1,0,61,1,1,1,0,1,0,0,1,1,1,3,1.2060760122016398,1.6283492202711876,0
1,0,0,0,64,1,1,1,1,1,0,0,0,0,2,2,0.6493740171459886,1.3271358169288205,0
1,1,1,0,71,1,1,2,2,2,2,2,2,2,1,3,-1.3564149620545218,-0.23273192273415483,0
0,0,1,1,65,1,1,1,1,1,0,1,1,0,1,2,1.1396041321949948,1.8250298278919108,0
1,0,0,0,3,1,0,2,2,2,2,2,2,2,2,1,-1.5009913010689746,-0.981063111029099,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.6351950639824245,-0.9879951697105342,1
1,0,0,1,30,1,0,0,0,1,1,0,1,0,2,2,-0.008697594919796037,-0.15601566821827048,0
1,0,1,1,15,1,0,0,0,1,1,1,0,1,0,1,0.1574821050968163,-0.5350933103167597,0
0,0,1,1,8,1,0,0,0,0,0,1,1,1,0,0,0.12590796209365984,-0.7589723137831145,0
1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,1,1.0049985751815391,-0.7187266355147816,1
0,0,1,1,70,1,1,1,1,1,1,0,1,1,2,2,1.4420511862252297,2.493443651770308,0
1,0,1,1,62,1,0,0,1,1,1,1,1,1,1,0,0.709198709151969,1.2945507258020736,0
0,0,1,1,6,1,0,2,2,2,2,2,2,2,0,1,-1.4976677070686424,-0.9580371963643315,0
0,0,1,1,14,1,0,1,0,0,0,0,0,1,0,3,0.5363718211346926,-0.49915257294931803,0
0,0,0,0,22,1,1,1,0,0,0,0,1,0,0,3,0.6443886261454906,-0.20370116742814393,0
1,0,1,1,22,1,0,2,2,2,2,2,2,2,2,1,-1.4827115340671475,-0.8227516689763201,0
1,0,1,1,16,1,0,0,1,0,1,0,1,0,1,1,-0.017006579920626656,-0.556021946081093,0
1,0,0,0,10,1,1,2,2,2,2,2,2,2,1,3,-1.2982520670487077,-0.8970615719117063,0
0,0,0,1,13,1,0,0,1,1,0,0,0,0,0,0,-0.291203084948037,-0.6705775272848121,0
0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,0.5862257311396762,-0.3050770064891341,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0.16412929309748087,-0.9484559432823477,0
1,0,0,0,53,1,1,0,0,1,1,1,0,1,1,3,0.3037202411114353,0.7395444988871578,0
0,0,1,1,11,1,0,2,2,2,2,2,2,2,2,1,-1.4677553610656522,-0.9048766953933244,0
1,0,1,0,69,1,0,2,2,2,2,2,2,2,1,1,-1.491020519067978,-0.4061437728700602,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,3,0.20401242110146792,-0.8876127785497498,1
1,0,1,0,72,1,1,0,1,1,1,1,1,1,1,3,0.8072447321617704,1.7533911959770778,0
1,1,1,0,58,0,2,0,0,1,1,0,0,1,0,0,-0.6468276429835874,0.1624395753476665,1
0,0,1,1,16,1,0,2,2,2,2,2,2,2,0,0,-1.4744025490663168,-0.8662426103853251,0
1,0,1,0,43,1,0,1,1,0,1,1,0,0,2,3,0.6477122201458226,0.5545424232488526,0
0,0,1,0,2,1,1,1,0,0,1,1,1,1,0,0,1.3174164112127704,-0.9009470570325108,1
1,0,1,0,14,1,0,0,0,1,1,1,1,1,1,1,0.571269558138181,-0.48637020996667135,0
0,0,1,0,53,1,0,1,0,0,1,0,1,1,2,3,1.0000131841810405,1.1995991831624135,1
0,0,0,0,32,1,0,2,2,2,2,2,2,2,2,3,-1.4694171580658184,-0.7191460912948684,0
0,0,1,0,34,1,1,2,2,2,2,2,2,2,0,0,-1.33148800705203,-0.6636675452233813,0
0,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,0.3220000081132625,-0.5022874529899671,1
0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,3,0.38847188811990746,-0.7857954070886684,1
0,0,1,1,15,1,1,1,0,1,1,0,1,1,0,3,1.3489905542159264,-0.3196917289321601,0
1,0,1,0,61,1,0,2,2,2,2,2,2,2,2,2,-1.4694171580658184,-0.45535255886024906,0
0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,-1.156999322034587,-0.9949272283919697,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.6468276429835874,-0.9881497060505663,0
1,0,0,0,8,1,1,1,0,0,0,0,0,1,0,3,0.6560212051466533,-0.7155696788541278,1
1,0,1,1,33,1,0,0,1,0,1,0,1,1,2,2,0.3319707901142592,0.07506031336957453,0
0,0,0,0,13,1,0,1,0,1,1,0,0,0,0,0,0.4815325201292103,-0.51732163121308,1
0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,-1.328164413051698,-0.9972011202524403,1
1,0,0,0,20,1,0,0,0,1,0,0,0,0,0,1,-0.4307940329619914,-0.5560881759411068,0
1,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,-1.1420431490330922,-0.9718792371071975,0
0,0,0,0,13,1,0,2,2,2,2,2,2,2,2,0,-1.4993295040688086,-0.9000639922323279,0
0,0,1,0,40,1,1,0,0,1,0,0,0,0,0,2,-0.2712615209460435,0.042298609282791,0
1,0,1,1,43,1,1,0,1,0,0,1,0,1,2,2,0.2372483611047904,0.39298571805540183,0
1,0,1,0,6,1,0,1,0,1,1,0,0,1,0,0,0.8720548151682492,-0.7736974193261633,1
0,0,1,1,69,1,0,2,2,2,2,2,2,2,1,3,-1.4960059100684764,-0.4008674606889677,0
0,0,1,1,72,1,1,1,1,1,1,0,1,1,1,2,1.4935668932303794,2.581198216288478,0
1,0,1,1,59,1,0,2,2,2,2,2,2,2,1,2,-1.5109620830699715,-0.4815354301856703,0
0,0,1,0,20,1,0,1,1,1,0,1,1,0,0,0,1.0565142821866886,-0.16851103514085766,0
1,0,1,1,24,1,1,2,2,2,2,2,2,2,1,3,-1.3514295710540236,-0.7487949919610072,0
1,0,0,0,59,1,1,1,0,1,1,1,1,1,0,0,1.5484061942358611,1.8705297417213318,0
1,0,1,1,72,1,1,1,0,1,1,1,1,1,1,3,1.5783185402388515,2.5424979014204645,0
1,0,0,1,1,1,0,2,2,2,2,2,2,2,0,1,-1.462769970065154,-0.9989893264728107,0
0,0,1,0,27,1,0,1,1,0,0,1,1,1,2,2,1.2343265612044643,0.17566347073040467,0
0,0,0,0,14,1,0,1,0,1,0,1,0,0,0,2,0.5081212721318682,-0.5170346351530206,0
1,0,1,1,71,1,1,1,1,0,1,0,1,1,1,0,1.3556377422165908,2.2616170651023078,0
1,0,0,1,13,1,0,1,0,0,0,0,1,0,0,2,0.44995837712605385,-0.5516286987001834,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,2,0.1358787440946565,0.29832117147580123,0
0,0,0,0,33,1,0,1,0,1,0,1,0,0,2,3,0.5047976781315362,0.17729714061074284,0
1,0,1,1,72,0,2,0,1,1,1,1,0,1,1,2,-0.30948285194986425,0.8371010826873572,0
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0.5031358811313701,-0.9728726850074031,1
0,0,0,0,19,1,0,1,1,0,1,1,1,1,0,0,1.3905354792200795,-0.1540287724178591,1
1,0,1,0,64,1,0,1,0,1,1,1,1,1,2,2,1.2526063282062914,1.9298496196736143,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,-0.6235624849812615,-0.9708416359669827,1
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-1.3132082400502028,-0.9970024306723994,0
1,0,0,1,61,1,0,2,2,2,2,2,2,2,1,1,-1.4960059100684764,-0.5117803995919327,0
0,0,1,1,29,1,0,2,2,2,2,2,2,2,2,0,-1.4876969250676457,-0.769701551105336,0
1,1,1,0,23,1,1,1,0,0,0,0,0,1,0,0,0.7324638671542948,-0.13574933105407436,0
0,0,1,0,57,0,2,0,1,1,1,0,1,1,0,3,-0.1998042499389002,0.5095944249195459,0
1,0,1,1,72,0,2,0,1,1,1,1,0,0,1,2,-0.6484894399837534,0.3781723060323348,0
1,0,1,0,66,0,2,0,1,1,1,1,1,0,1,3,-0.2712615209460435,0.6649034466517031,0
1,0,1,1,65,1,1,0,0,1,1,1,1,1,1,3,0.6460504231456566,1.3427881405120614,0
0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,3,0.5064594751317022,-0.7323699866776064,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0.17908546609897608,-0.889665904210175,1
0,0,1,0,71,1,1,2,2,2,2,2,2,2,1,3,-1.329826210051864,-0.19710025804677717,0
1,0,1,1,1,1,0,2,2,2,2,2,2,2,2,0,-1.481049737066981,-0.9992321692928611,0
1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,1,-0.48895692796780577,-0.9289622878183115,1
0,0,0,0,12,1,0,2,2,2,2,2,2,2,2,3,-1.5093002860698053,-0.9113009918146546,0
1,0,0,0,24,0,2,0,1,0,0,0,1,1,2,1,-0.4706771609659783,-0.43912624315688936,0
0,0,1,1,31,1,0,0,1,0,1,1,1,1,2,1,0.5446808061355232,0.11587998375802629,0
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,-0.3177918369506949,-0.9837785352896613,1
1,0,0,0,30,1,1,1,0,0,0,1,0,1,0,2,0.8354952811645947,0.19420783153424434,0
0,0,1,1,47,1,1,0,1,1,0,1,1,1,1,2,0.6826099571493112,0.8053328265007795,0
1,0,0,0,54,1,1,1,1,1,0,1,1,1,1,2,1.437065795224731,1.5353624968119342,0
1,0,0,0,50,1,0,1,1,1,0,1,0,1,0,2,0.9551446651765554,1.0880239456593117,0
1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0.6593447991469853,-0.9707974827269735,1
0,0,0,0,72,1,0,2,2,2,2,2,2,2,1,2,-1.479387940066815,-0.3163140060714607,0
0,0,0,0,29,1,1,2,2,2,2,2,2,2,0,0,-1.3165318340505352,-0.6981953789105304,0
1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,-0.344380588953353,-0.9577722769242767,1
0,0,0,0,10,0,2,0,0,0,0,1,0,0,1,1,-1.16863190103575,-0.8761108595273683,0
1,0,1,0,18,1,1,1,0,0,0,0,0,0,0,0,0.27879328610894344,-0.4315318858753169,0
0,1,0,0,11,1,0,1,0,1,0,0,1,1,0,0,1.0049985751815391,-0.5135023759522892,1
1,0,0,0,16,1,0,2,2,2,2,2,2,2,1,1,-1.4960059100684764,-0.8826013858087123,0
0,0,0,0,72,1,1,0,0,1,1,1,1,1,1,3,0.7258166791536302,1.7958003830058589,0
1,0,0,0,72,1,1,1,0,1,1,1,1,1,1,3,1.476948923228718,2.4703735838655314,0
0,0,1,1,41,1,0,0,1,0,0,1,1,1,2,2,0.3303089931140932,0.3992996313767092,0
0,1,1,0,65,1,0,1,1,1,1,0,0,1,0,0,0.9850570111795458,1.6967425890453485,0
0,1,0,0,13,1,0,0,0,1,1,0,0,0,0,0,-0.33108621295202406,-0.6852584795878518,0
1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0.3519123541162525,-0.8874361655897133,0
1,0,0,0,41,1,1,0,0,0,1,0,0,1,2,1,0.007920375081865194,0.10972060677675105,0
1,1,0,0,15,1,0,1,0,1,0,0,0,0,0,0,0.3203382111130965,-0.5338128663564946,1
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-0.5388108379727894,-0.9867147257502692,1
1,0,0,0,42,1,1,1,1,1,1,0,0,1,2,0,1.1379423351948288,0.889753821398259,0
0,0,1,0,51,1,0,1,1,1,1,0,1,0,2,0,0.9551446651765554,1.0315298750676145,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0.18739445109980668,-0.9431796311012551,1
1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,-0.8163309370005318,-0.9904015212910326,1
1,0,0,1,32,1,1,0,0,1,1,1,1,1,2,2,0.6294324531439954,0.15453614538603025,0
1,0,0,0,10,1,0,2,2,2,2,2,2,2,0,1,-1.4926823160681442,-0.9229132939370589,0
0,0,1,1,67,0,2,0,0,1,1,1,1,1,1,0,-0.17321549793624233,0.803853692960473,0
0,0,1,1,61,1,1,1,1,1,1,1,1,1,1,2,1.6730409692483204,2.0861741659259816,0
1,0,0,0,50,1,1,1,1,1,1,1,1,1,2,2,1.6481140142458286,1.5488071583947183,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,-0.670092800985913,-0.9725856889473437,1
